datetime_utc,symbol,direction,exchange,confidence,price,rsi,count
2025-10-23T02:23:02.430741+00:00,OM/USDT,SHORT,bitget,0.75,0.11212,79.12085883347926,2
2025-10-23T02:23:02.430741+00:00,BOME/USDT,SHORT,mexc,0.75,0.001017,83.92647326673958,2
2025-10-23T21:11:17.588494+00:00,BAN/USDT,LONG,mexc,0.75,0.0653,18.305076058607966,2
2025-10-24T05:13:06.086441+00:00,DOGS/USDT,SHORT,bitget,0.75,6.14e-05,80.89844865327872,2
2025-10-25T16:13:39.908167+00:00,MOODENG/USDT,SHORT,gateio,0.75,0.11582,50.73744217332785,2
2025-10-26T02:28:53.515284+00:00,HIPPO/USDT,LONG,gateio,1.0,0.001496,45.227953032637984,2
2025-10-26T03:37:47.586552+00:00,FLOKI/USDT,LONG,gateio,0.75,7.238e-05,27.340435561421884,2
2025-10-26T14:10:47.133233+00:00,AIXBT/USDT,LONG,okx,0.75,0.08237,20.66032871813607,2
2025-10-26T21:10:43.102646+00:00,MUBARAK/USDT,SHORT,mexc,0.75,0.02404,40.999942600080324,2
2025-10-27T18:18:36.678463+00:00,BRETT/USDT,LONG,mexc,0.75,0.03261,65.96853803353224,2
2025-10-29T04:19:41.388981+00:00,ACT/USDT,SHORT,mexc,0.75,0.02184,71.73891209896294,2
2025-10-29T11:11:57.136129+00:00,BRETT/USDT,SHORT,mexc,0.75,0.03001,67.97379401090731,2
2025-10-29T12:24:13.539098+00:00,PEOPLE/USDT,SHORT,gateio,0.75,0.012031,72.55696137266959,2
2025-10-30T05:13:02.645317+00:00,PEPE/USDT,LONG,bitget,0.75,6.7985e-06,29.64601769911505,2
2025-10-30T05:13:02.645317+00:00,FLOKI/USDT,LONG,gateio,0.75,7.016e-05,29.23178859570477,2
2025-10-30T09:14:18.134040+00:00,MEME/USDT,LONG,mexc,0.75,0.001555,36.606685273576915,2
2025-10-30T10:14:03.934737+00:00,MEME/USDT,LONG,bitget,0.75,0.001546,29.486650239611123,3
2025-10-30T10:14:03.934737+00:00,PEOPLE/USDT,LONG,gateio,0.75,0.011691,42.985503273912656,2
2025-10-30T10:14:03.934737+00:00,MUBARAK/USDT,LONG,gateio,0.75,0.02108,36.29028160774655,2
2025-10-30T11:11:22.759268+00:00,DOGS/USDT,LONG,gateio,0.75,5.378e-05,36.798528058877615,2
2025-10-30T12:23:27.065798+00:00,ORDI/USDT,LONG,gateio,0.75,4.867,22.831050082358573,2
2025-10-30T13:27:15.495254+00:00,SHIB/USDT,LONG,mexc,0.75,9.825e-06,27.602523659306016,2
